trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",25,16,4.790865635449832,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",25,3,-74.09237805316103,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 2}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",20,0,15.88850462121689,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
126,False,"{'a': 0.01, 'e': 0.3058169083782893}",30,0,10.011342458953079,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
127,False,"{'a': 0.01, 'e': 0.2962808729253187}",20,13,11.827358642748488,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.28671520963195546}",30,5,-5.038318008882245,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",30,6,28.088715393649856,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",25,14,-3.6836695304402003,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",20,10,-2.6687637868906693,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",20,8,9.364991302336572,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",20,11,17.44372354550074,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",25,15,0.4422780709379692,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",25,13,22.09553585734582,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",30,8,3.0878008672917225,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",20,2,23.52956768643658,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
